0,IFF_SYSTEM_TYPE_IFF_SYS_TYPE_NOT_USED
1,IFF_SYSTEM_TYPE_IFF_SYS_TYPE_MARK_X_XII_ATCRBS_TRANS
2,IFF_SYSTEM_TYPE_IFF_SYS_TYPE_MARK_X_XII_ATCRBS_INT
3,IFF_SYSTEM_TYPE_IFF_SYS_TYPE_SOVIET_TRANS
4,IFF_SYSTEM_TYPE_IFF_SYS_TYPE_SOVIET_INT
5,IFF_SYSTEM_TYPE_IFF_SYS_TYPE_RRB_TRANS
6,IFF_SYSTEM_TYPE_IFF_SYS_TYPE_MARK_XIIA_INT
7,IFF_SYSTEM_TYPE_IFF_SYS_TYPE_MODE_5_INT
8,IFF_SYSTEM_TYPE_IFF_SYS_TYPE_MODE_S_INT
9,IFF_SYSTEM_TYPE_IFF_SYS_TYPE_MARK_XIIA_TRANS
10,IFF_SYSTEM_TYPE_IFF_SYS_TYPE_MODE_5_TRANS
11,IFF_SYSTEM_TYPE_IFF_SYS_TYPE_MODE_S_TRANS
12,IFF_SYSTEM_TYPE_IFF_SYS_TYPE_MARK_XIIA_CIT
13,IFF_SYSTEM_TYPE_IFF_SYS_TYPE_MARK_XII_CIT
14,IFF_SYSTEM_TYPE_IFF_SYS_TYPE_TCAS_ACAS_TRANSCEIVER
